PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39781240,Real-world effectiveness and safety of second- or third-line pegylated liposomal irinotecan plus 5-fluorouracil and folinic acid in pancreatic ductal adenocarcinoma in Spain.,2025,,,Unknown
39781239,Navigating the landscape of neoadjuvant immunotherapy for NSCLC: progress and controversies.,2025,,,Unknown
39781200,Endovascular interventions in cancer patients with compromise of the mediastinal vasculature: a review.,2024,,,Unknown
39781199,Current immunotherapy for thymic epithelial tumors: a narrative review.,2024,,,Unknown
39781192,Occult breast cancer in an older woman: A case report.,2025 Feb,,,Unknown
39781173,A Case of Small-Cell Lung Cancer With Novel Anaplastic Lymphoma Kinase Gene Rearrangement That Developed Intradural Extramedullary Spinal Metastases With Myelitis.,2024 Dec,,,Unknown
39781040,Therapeutic potential of a systemically applied humanized monoclonal antibody targeting Toll‑like receptor 2 in atopic‑dermatitis‑like skin lesions in a mouse model.,2025 Mar,,,Unknown
39781038,Prognostic significance of MRD and its correlation with arsenic concentration in pediatric acute promyelocytic leukemia: a retrospective study by SCCLG-APL group.,2025,,,Unknown
39781016,The Mindful Compassion Program Integrated with Body-Mind-Spirit Empowerment for Reducing Depression in Lung Cancer Patient-Caregiver Dyads.,2025 Jan,,,Unknown
39780997,"Medicine availability and affordability for paediatric cancers, China.",2025 Jan 1,,,Unknown
39780958,Intratumoral Injection of Engineered Mycobacterium smegmatis Induces Antitumor Immunity and Inhibits Tumor Growth.,2025,,,Unknown
39780923,Risk-adapted stereotactic body radiation therapy delivered in four fractions in patients with non-small cell lung cancer.,2024 Nov,,,Unknown
39780816,Clinicopathologic and genomic features associated with brain metastasis after resection of lung adenocarcinoma.,2024 Dec,,,Unknown
39780756,Cardiovascular toxicity induced by TKIs in patients with chronic myeloid leukaemia: Are women and men different?,2025 Jan 9,,,Unknown
39780692,Asciminib versus bosutinib following 2 or more prior therapies in chronic myeloid leukemia: a plain language summary of the ASCEMBL study.,2025 Jan 9,,,Unknown
39780686,Parkinsonism and Bilateral Facial Palsy after Chimeric Antigen Receptor T-Cell Therapy.,2025 Jan 9,,,Unknown
39780649,Modulation of Donor in Purely Organic Triplet Harvesting AIE-TADF Photosensitizer for Image-guided Photodynamic Therapy.,2025 Jan 9,,,Unknown
39780572,Mas-related gene C (MrgC) receptor activation induced inhibition of neurochemical alterations in the spinal dorsal horn and dorsal root ganglia in a rat model of bone cancer pain.,2024 Dec 25,,,Unknown
39780544,Raman Spectroscopy and Exosome-Based Machine Learning Predicts the Efficacy of Neoadjuvant Therapy for HER2-Positive Breast Cancer.,2025 Jan 8,,,Unknown
39780531,Overexpression of RGPR-p117 reveals anticancer effects by regulating multiple signaling pathways in bone metastatic human breast cancer MDA-MB-231 cells.,2025 Jan,,,Unknown
39780503,"Introduction to androgenetics: terminology, approaches, and impactful studies across 60 years.",2025 Jan 8,,,Unknown
39780444,Statistical methods to adjust for the effects on intervention compliance in randomized clinical trials where precision treatment rules are being developed.,2025 Mar,,,Unknown
39780402,Thrombopoietin Receptor Agonists for Thrombocytopenia in Pediatric Hematologic Malignancies.,2025 Jan 8,,,Unknown
39780367,FAP-Targeted SPECT/CT and PET/CT Imaging for Breast Cancer Patients.,2025 Jan 9,,,Unknown
39780366,Prevention and Management of Infectious Complications in Pediatric Patients With Cancer: A Survey Assessment of Current Practices Across Children's Oncology Group Institutions.,2025 Jan 8,,,Unknown
39780302,"Impact of Tacrolimus, Sirolimus, Age, and Body Mass Index on the Occurrence of Skin Cancer and Islet Dysfunction After Transplantation.",2025 Jan-Dec,,,Unknown
39780291,MORF4L2 induces immunosuppressive microenvironment and immunotherapy resistance through GRHL2/MORF4L2/H4K12Ac/CSF1 axis in triple-negative breast cancer.,2025 Jan 9,,,Unknown
39780285,ONC213: a novel strategy to resensitize resistant AML cells to venetoclax through induction of mitochondrial stress.,2025 Jan 9,,,Unknown
39780280,Safety and efficacy of immune checkpoint inhibitors in patients with pre-treatment reduced left ventricular function.,2025 Jan 8,,,Unknown
39780278,The role of endothelial cell-related gene COL1A1 in prostate cancer diagnosis and immunotherapy: insights from machine learning and single-cell analysis.,2025 Jan 8,,,Unknown
39780269,Fecal microbiota transplantation attenuates Alzheimer's disease symptoms in APP/PS1 transgenic mice via inhibition of the TLR4-MyD88-NF-κB signaling pathway-mediated inflammation.,2025 Jan 8,,,Unknown
39780248,Myeloid-derived suppressor cells (MDSCs) in the tumor microenvironment and their targeting in cancer therapy.,2025 Jan 8,,,Unknown
39780232,Modulating tumor-associated macrophages through CSF1R inhibition: a potential therapeutic strategy for HNSCC.,2025 Jan 8,,,Unknown
39780231,Pharmacological Vitamin C-induced high H(2)O(2) generation mediates apoptotic cell death by caspase 3/7 activation in breast cancer tumor spheroids.,2025 Jan 8,,,Unknown
39780187,"Cancer-associated fibroblasts as therapeutic targets for cancer: advances, challenges, and future prospects.",2025 Jan 9,,,Unknown
39780157,Potentially actionable molecular alterations in particular related to poor oncologic outcomes in salivary gland carcinomas.,2025 Jan 8,,,Unknown
39780146,Investigation of the causal relationship between patient portal utilization and patient's self-care self-efficacy and satisfaction in care among patients with cancer.,2025 Jan 8,,,Unknown
39780142,Development of a prognostic nomogram and risk stratification system for elderly patients with esophageal squamous cell carcinoma undergoing definitive radiotherapy: a multicenter retrospective analysis (3JECROG R-03 A).,2025 Jan 8,,,Unknown
39780133,"Effect of different protocols in preventing demineralization in irradiated human enamel, in vitro study.",2025 Jan 8,,,Unknown
39780129,Astaxanthin-loaded PLGA nanoparticles inhibit survival of MKN-45 gastric cancer cell line by modulating JAK2/STAT3/mTOR/PI3K pathway.,2025 Jan 9,,,Unknown
39780119,Carboplatin in combination with etoposide for advanced small cell lung cancer complicated with idiopathic interstitial pneumonia: a single-arm phase II study.,2025 Jan 8,,,Unknown
39780104,Cross-cultural adaptation of the simple Chinese version of the medication adherence reasons scale in patients undergoing adjuvant endocrine therapy for breast cancer.,2025 Jan 8,,,Unknown
39780102,Impact of irradiation conditions on therapy of Lewis lung carcinoma in mice using glucose-ethylenediamine carbon dots.,2025 Jan 8,,,Unknown
39780099,Triple-drug antibiotic therapy for disseminated nocardial abscess in the mediastinum and brain of an immunocompetent patient: a case report.,2025 Jan 8,,,Unknown
39780089,"Ultrasound localization microscopy in the diagnosis of breast tumors and prediction of relevant histologic biomarkers associated with prognosis in humans: the protocol for a prospective, multicenter study.",2025 Jan 8,,,Unknown
39780067,"Postdiagnostic use of antihypertensive medications and survival in colorectal, lung, corpus uteri, melanoma and kidney cancer patients with hypertension.",2025 Jan 8,,,Unknown
39780053,"Comparative study between high and low dose methylene blue infusion in septic cancer patients: a randomized, blinded, controlled study.",2025 Jan 8,,,Unknown
39780051,The microbiota-derived bile acid taurodeoxycholic acid improves hepatic cholesterol levels in mice with cancer cachexia.,2025 Dec,,,Unknown
39780006,Reinventing type 2 immunity in cancer.,2025 Jan,,,Unknown
39779996,Gene signatures derived from transcriptomic-causal networks stratify colorectal cancer patients for effective targeted therapy.,2025 Jan 8,,,Unknown
39779964,Evaluation of clinical risk stratification to determine benefit from long-term versus short-term androgen deprivation in high-risk localized prostate cancer.,2025 Jan 8,,,Unknown
39779950,"Management, biomarkers and prognosis in people developing endocrinopathies associated with immune checkpoint inhibitors.",2025 Jan 9,,,Unknown
39779930,T cell malignancies after CAR T cell therapy in the DESCAR-T registry.,2025 Jan 8,,,Unknown
39779851,A vision-language foundation model for precision oncology.,2025 Jan 8,,,Unknown
39779812,The non-nutritive sweetener rebaudioside a enhances phage infectivity.,2025 Jan 8,,,Unknown
39779797,Quality of life in early breast cancer patients after adjuvant accelerated partial-breast irradiation (APBI) in randomized trial.,2025 Jan 9,,,Unknown
39779772,Boosting skin cancer diagnosis accuracy with ensemble approach.,2025 Jan 8,,,Unknown
39779746,Identifying ADME-related gene signature for immune landscape and prognosis in KIRC by single-cell and spatial transcriptome analysis.,2025 Jan 8,,,Unknown
39779693,Pan-inhibition of super-enhancer-driven oncogenic transcription by next-generation synthetic ecteinascidins yields potent anti-cancer activity.,2025 Jan 8,,,Unknown
39779686,Integrating gene therapy into the treatment paradigm for non-muscle invasive bladder cancer.,2025 Jan 9,,,Unknown
39779664,CCR5-ligand decorated rilpivirine lipid-based nanoparticles for sustained antiretroviral responses.,2025 Jan 8,,,Unknown
39779635,Dual targeting of HSP90 and BCL-2 in breast cancer cells using inhibitors BIIB021 and ABT-263.,2025 Jan 9,,,Unknown
39779619,Angelica gigas Nakai (Korean Dang-gui) Root Alcoholic Extracts in Health Promotion and Disease Therapy - active Phytochemicals and In Vivo Molecular Targets.,2025 Jan 8,,,Unknown
39779616,Cardiotoxicity as important differential diagnosis for reduced myocardial blood flow during Rubidium cardiac PET/CT : Cardiotoxicity in Rubidium PET/CT.,2025 Jan 8,,,Unknown
39779611,Treatment outcomes and prognostic factors in patients with colorectal cancer and synchronous lung metastases in the conversion therapy era.,2025 Jan 9,,,Unknown
39779600,Analysis of mRNA Pentatricopeptide Repeat Domain 1 as a prospective oncogene in clear cell renal cell carcinoma that accelerates tumor cells proliferation and invasion via the Akt/GSK3β/β-catenin pathway.,2025 Jan 8,,,Unknown
39779574,The Clinical Role of Hypoxia Inducible Factor (HIF) Inhibition in Renal Cancer: A Focus on Belzutifan.,2025 Jan 6,,,Unknown
39779573,Clinical Application of PARP1 Inhibitors and Challenges in Cancer Therapy.,2025 Jan 6,,,Unknown
39779571,"Design and Evaluation of 5-Oxo-1,2,4-triazole-3-carboxamide Compounds as Promising Anticancer Agents: Synthesis, Characterization, In vitro Cytotoxicity and Molecular Docking Studies.",2025 Jan 6,,,Unknown
